Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_00070,orf19.6109	NG	0.0523721	1.12849	0.0464092	4.65921e-100	1530	338.945	1191.06	NA	258	197.75	60.25	NA	NA	0.290766	1:1:1:1:1:1	0.475273(0.473025:0.387283:0.565511)	NA	NA	NA	NA
Cd36_00090,orf19.6102	NG	0.0663573	0.689518	0.0962373	4.14947e-26	666	146.368	519.632	NA	99	66	33	NA	NA	0.20331	1:1:1:1:1:1	0.401489(0.445017:0.340206:0.419244)	NA	NA	NA	NA
Cd36_00100,orf19.6103	NG	0.159703	1.16577	0.136994	5.79353e-17	432	89.0382	342.962	NA	102	52.6667	49.3333	NA	NA	0.36706	1:1:1:1:1:1	0.410185(0.372222:0.327778:0.530556)	NA	NA	NA	NA
Cd36_00110,orf19.6100	NG	0.0665518	0.541392	0.122927	1.40999e-21	672	159.054	512.946	NA	94	61.3333	32.6667	NA	NA	0.178941	1:1:1:1:1:1	0.424119(0.361789:0.406504:0.504065)	NA	NA	NA	NA
Cd36_00120,orf19.6099	NG	0.0162629	0.696761	0.0233407	1.29996e-99	1620	376.824	1243.18	NA	191	171	20	NA	NA	0.174552	1:1:1:1:1:1	0.464815(0.507407:0.362037:0.525)	NA	NA	NA	NA
Cd36_00130,orf19.6096	NG	0.118932	0.833246	0.142733	1.15622e-23	666	154.549	511.451	NA	134	77.75	56.25	NA	NA	0.284692	1:1:1:1:1:1	0.44764(0.55531:0.35177:0.435841)	NA	NA	NA	NA
Cd36_00140,orf19.6094	NG	0.0635246	0.674999	0.0941107	1.96379e-76	2085	429.518	1655.48	NA	292	191.167	100.833	NA	NA	0.189491	1:1:1:1:1:1	0.408427(0.381356:0.261299:0.582627)	NA	NA	NA	NA
Cd36_00150,orf19.6092	NG	0.0416151	0.684072	0.0608343	1.36388e-137	3021	655.726	2365.27	NA	390	294.25	95.75	NA	NA	0.181064	1:1:1:1:1:1	0.423252(0.496098:0.34439:0.429268)	NA	NA	NA	NA
Cd36_00160,orf19.6091	NG	0.0327309	0.760432	0.0430425	1.0549e-106	1866	440.119	1425.88	NA	256	210.333	45.6667	NA	NA	0.204368	1:1:1:1:1:1	0.416019(0.458787:0.381804:0.407465)	NA	NA	NA	NA
Cd36_00170,orf19.6090	NG	0.106347	0.454495	0.233989	3.48922e-18	1185	246.198	938.802	NA	177	83.9167	93.0833	NA	NA	0.178679	1:1:1:1:1:1	0.393302(0.450935:0.439252:0.28972)	NA	NA	NA	NA
